71960421000102-ESTAMPARIA DE METAIS RQM - PRODUTOS CADASTRADOS - 20/07/2026-14:46:21;;;;;;;;;;
CÓDIGO;CÓD BARRAS;DESCRIÇÃO;GRUPO;MARCA;CÓD FAB;OBS;TIPO;SITUAÇÃO;;
;;;;;;;TODOS;ATIVO;;
CÓDIGO;CÓD BARRAS;DESCRIÇÃO;;NCM;UNIDADE;CUSTO;PREÇO 1;PREÇO 2;QTDE ATUAL;INCLUSÃO
1477;;CABO DE ACO CLIPADO C/3,0;FIXADORES E SOLDA;7312.10.90;PC;27,02;27,02;27,02;0;26/05/2026
1478;;CABO DE ACO CLIPADO C/2,5;FIXADORES E SOLDA;7312.10.90;PC;22,52;22,52;22,52;-19;26/05/2026
1479;;SEPARADOR PARA LAJE COMUM;DIVERSOS;7308.90.10;PC;6,6;6,6;6,6;0;26/05/2026
1480;;SEPARADOR PARA LAJE - TRELICA BISOTADO - 25 PAINEL;PERFIS E CANTONEIRAS;7308.90.10;PC;6,23;6,23;6,23;0;26/05/2026
1481;;SEPARADOR PARA LAJE - TRELICA BISOTADO - 30 PAINEL;PERFIS E CANTONEIRAS;7308.90.10;PC;6,23;6,23;6,23;0;26/05/2026
1482;;SEPARADOR PARA LAJE TRELICA;DIVERSOS;7308.90.10;PC;6,6;6,6;6,6;-250;26/05/2026
1483;;TUBO RED 2 P 2,00 - 14,90 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;116,22;156,9;162,71;38,5;27/05/2026
1487;;DISCO DE DESBATE 9 X 7/8 - STILEX - OK;DISCOS;6804.22.11;UN;12;19,2;19,2;9;08/06/2026
1488;;DISCO DE DESBASTE 7 X 7/8 - STILEX - OK;DISCOS;6804.22.11;UN;8,75;14;14;36;08/06/2026
1489;;TUBO QUA 100 X 100 P 1,5 - 28 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;218,4;294,84;294,84;12;09/06/2026
1490;;FORMA DE LAJE 2,65 6000MT BALCAO;DIVERSOS;3919.90.90;PC;216;320;320;0;12/06/2026
1491;;FORMA DE LAJE 2,65 6000 REVENDA;DIVERSOS;3919.90.90;PC;187;280;280;0;12/06/2026
1492;;MALHA;DIVERSOS;6201.30.00;UN;12;19,21;19,21;-5;15/06/2026
1493;;FORMA DE LAJE 2,65 12000 REVENDA;DIVERSOS;3919.90.90;PC;374;560;560;-47;15/06/2026
1494;;FORMA DE LAJE 2,65 12000 BALCAO;DIVERSOS;3919.90.90;PC;432;640;640;0;15/06/2026
1495;;ALCOOL EM GEL;DIVERSOS;2909.60.19;UN;10;10;10;-2;15/06/2026
1496;;LIXA DE FERRO 120;DIVERSOS;8465.93.10;UN;5,36;5,36;5,36;0;15/06/2026
1497;;LIXA DE FERRO 180;DIVERSOS;8465.93.10;UN;2,59;2,59;2,59;0;15/06/2026
1498;;LIXA DE FERRO 280;DIVERSOS;8465.93.10;UN;2,75;2,75;2,75;0;15/06/2026
1499;;LIXA DE FERRO 36;DIVERSOS;8465.93.10;UN;5;5;5;0;15/06/2026
1500;;LIIXA DE FERRO 50;DIVERSOS;8465.93.10;UN;6,8;6,8;6,8;0;15/06/2026
1501;;LIXA DE FERRO 80 NORTON;DIVERSOS;8465.93.10;UN;5,8;5,8;5,8;0;15/06/2026
1502;;CADEADO KING TETRA - COD 102;TRINCOS E FECHADURAS;8301.10.00;UN;76,5;76,5;76,5;0;15/06/2026
1503;;CADEADO KING YALE - COD 101;TRINCOS E FECHADURAS;8301.10.00;UN;65,57;65,57;65,57;0;15/06/2026
1504;;CADEADO MILANO AUTOMATICO TETRA - COD 401;TRINCOS E FECHADURAS;8301.10.00;UN;120;120;120;0;15/06/2026
1505;;TUBO RED 1 1/4 P 2,65 - 11,98 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;94;140,43;140,43;1;16/06/2026
1506;;TRENA 5MT STARRET;DIVERSOS;9017.80.10;UN;0;0;0;7;16/06/2026
1507;;TRAVA ELETRICA PARA PORTAO 110 VOLTS TRAVATEC/;TRINCOS E FECHADURAS;8505.11.00;PC;72;108;108;4;17/06/2026
1508;;BOTINA SEG PU VJ BIQ ACO 38;DIVERSOS;4203.29.00;PC;74;74;74;0;17/06/2026
1509;;BOTINA SEG PU VJ BIQ ACO 39;DIVERSOS;4203.29.00;PC;74;74;74;0;17/06/2026
1510;;BOTINA SEG PU VJ BIQ ACO 40;DIVERSOS;4203.29.00;PC;74;74;74;0;17/06/2026
1511;;BOTINA SEG PU VJ BIQ ACO 41;DIVERSOS;4203.29.00;PC;74;74;74;0;17/06/2026
1512;;BOTINA SEG PU VJ BIQ ACO 42;DIVERSOS;4203.29.00;PC;74;74;74;0;17/06/2026
1513;;BOTINA SEG PU VJ ELASTICO 45;DIVERSOS;4203.29.00;PC;74;74;74;0;17/06/2026
1514;;TUBO RED 7/8 P 1,11 - 3,61 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;46;46;46;248;18/06/2026
1515;;TUBO RED 1 1/2 P 2,0 - 11,2;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;129,91;129,91;129,91;0;22/06/2026
1516;;TUBO RED 1 P 2,00 - 9,8 - OK;TUBOS GALVANIZADOS / AÇO;7306.30.90;BR;85;113,49;114,75;7;23/06/2026
1517;;TE 5/8 X 1/8 - P 4,4;PERFIS E CANTONEIRAS;7216.21.00;BR;47,96;64,75;67,14;0;25/06/2026
1518;;FITA PARA PORTA DE ACO 25MM;FITA;8534.00.32;UN;11,16;11,16;11,16;-40;25/06/2026
1519;;FITA PARA PORTA DE ACO 30MM;FITA;8534.00.32;UN;13,36;13,36;13,36;0;25/06/2026
1520;;KIT BASC 120 X 2500 CH 18 GALV - 40,89;KITS BASCULANTE;7216.91.00;UN;496;496;496;-1;26/06/2026
1521;;KIT BASC 120 X 3000 CH 18 GALV - 59,01;KITS BASCULANTE;7216.91.00;UN;595,54;595,54;595,54;0;26/06/2026
1522;;PUXADOR P/ PORTA 150MM;PORTAS DE AÇO;2925.21.00;UN;18,91;18,91;18,91;-1;30/06/2026
1523;;ROLOS ZINCADOS DEVOLUCAO;DIVERSOS;7212.20.90;KG;1;1,01;1,01;-12494;01/07/2026
1524;;TE 11/4 X 1/8 - DOBRADO;PERFIS E CANTONEIRAS;7216.22.00;BR;115;115;115;-4;07/07/2026
1525;;ROLDANA GUIA LATERAL 44 X 18 NYLON COM ROSCA;ROLDANAS;8302.20.00;UN;15,21;22,82;22,82;-4;08/07/2026
1526;;ROLDANA GUIA LATERAL 48 X 18 NYLON COM ROSCA;ROLDANAS;8302.20.00;UN;15,21;22,82;22,82;-2;08/07/2026
1527;;ROLD BASE GIRATORIA COM FREIO 50 X 19 - LINHA JC NYLON;ROLDANAS;8302.20.00;UN;0;0;0;0;08/07/2026
1528;;ROLD BASE GIRATORIA SEM FREIO 50 X 19 - LINHA JC NYLON;ROLDANAS;8302.20.00;UN;0;0;0;0;08/07/2026
1529;;ROLD BASE GIRATORIA SEM FREIO 41 X 17 - LINHA JC NYLON;ROLDANAS;8302.20.00;UN;0;0;0;0;08/07/2026
1530;;ROLD BASE GIRATORIA COM FREIO 41 X 17 - LINHA JC NYLON;ROLDANAS;8302.20.00;UN;0;0;0;0;08/07/2026
1532;;FECHO AUTOMATICO COM ABA JOCEC;TRINCOS E FECHADURAS;8301.40.00;UN;17,17;17,2;17,2;0;16/07/2026
1533;;ROLO ARAME GALVANIZADO 1KG;FIXADORES E SOLDA;7313.00.00;PC;10;19;20;27;17/07/2026
